"Dizi Adi","Baslangic Yili","Ortalama Suresi","Yayinci Kuruluslar","Yapim sirketi","Yapimci","Senarist","Yonetmen","Oyuncu1puan","Oyuncu2puan","Oyuncu3puan","Turler","Bitis Yili","Sezon Sayisi","Yayinlanan bolum sayisi","ihrac durumu","Basari"
"Aliye","2004","90","ATV","TMC","Erol Avci","Sebnem Citak","Kudret Sabanci","70","85","50","Dram","2006","3","76","0","7"
"Yabanci Damat","2004","90","Kanal D","Erler Film","Turker Inanoglu","Ayse Teker","Taylan Biraderler","75","80","80","Dram","2007","3","106","1","7"
"Ihlamurlar Altinda","2005","85","Kanal D","Avsar Film","Sukru Avsar","Nilgun Ones","Aydin Bulut","85","80","75","Dram","2007","2","80","0","6"
"Emret Komutanim","2005","90","Show Tv","Altioklar Film","Mustafa Altioklar","Mufit Can Sacinti","Haluk Gol","60","80","75","Komedi","2007","2","80","1","6"
"Ask Oyunu","2005","90","ATV","Med Yapim","Meltem Kayali","Meric Demiray","Bulent Isbilen","85","70","60","Dram","2006","1","47","1","5"
"Hirsiz Polis","2005","80","Kanal D","TMC Film","Erol Avci","Serif Erol","Turkan Derya","75","85","70","Polisiye","2007","2","50","0","6"
"Aci Hayat","2005","80","Show Tv","Sinegraf Ltd","Osman Sinav","Tangul Sinav","Abdulkadir Ceylan Ede","90","80","60","Dram","2007","2","59","0","6"
"Davetsiz Misafir","2005","80","Show Tv","Surec Film","Ali Gundogdu","Bengisu Gencay","Ummu Burhan","60","45","65","Komedi","2005","1","25","1","5"
"Kirik Kanatlar","2005","90","Kanal D","Avsar Film","Sukru Avsar","Ayhan Sonyurek","Cevdet Mercan","80","65","65","Dram","2007","2","36","1","6"
"Gumus","2005","90","Kanal D","D Productions","Irfan Sahin","Sema Ergenekon","Tarik Alpagut","90","85","75","Dram","2007","3","100","0","7"
"Aska Surgun","2005","90","ATV","Sis Yapim","Tomris Giritlioglu","Pinar Ordu Arslan","Cemal San","70","90","65","Dram","2006","2","53","0","6"
"Hatirla Sevgili","2006","90","ATV","Sis Yapim","Tomris Giritlioglu","Nilgun Ones","Ummu Burhan","80","90","65","Dram","2008","2","68","1","6"
"Yalanci Yarim","2006","90","Star Tv","Arzu Film","Nahit Ataman","Betul Karabulur","Ozer Kiziltan","50","45","45","Romantik","2007","1","49","1","5"
"Kopru","2006","90","Star Tv","Koliba Film","Ata Turkoglu","Ozan Yurdakul","Cagatay Tosun","75","70","65","Dram","2008","2","65","1","6"
"Sila","2006","90","ATV","Most Production","Nezihe Dikilitas","Muharrem Buhara","Yasin Uslu","85","80","80","Dram","2008","3","79","1","7"
"Acemi Cadi","2006","60","Kanal D","D Productions","Ayse Durmaz","Haluk Ozenc","Feride Kaytan","55","50","50","Komedi","2007","1","58","1","5"
"Firtina","2006","90","Kanal D","BKM","Necati Akpinar","Gokhan Horzum","Metin Balekoglu","65","90","45","Dram","2007","1","48","0","5"
"Binbir Gece","2006","90","Kanal D","TMC","Erol Avci","Yildiz Tunc","Kudret Sabanci","85","80","65","Dram","2009","3","90","0","7"
"Doktorlar","2006","120","Show Tv","Med Yapim","Fatih Aksoy","Ayca Mutlugil","Oguzhan Tercan","85","80","90","Dram","2011","4","97","1","7"
"Selena","2006","90","ATV","Surec Film","Ali Gundogdu","Gani Mujde","Bora Onur","85","75","70","Fantastik","2009","3","104","1","7"
"Yaprak Dokumu","2006","90","Kanal D","Ay Yapim","Kerem Catay","Ece Yorenc","Cagri Vila Lostuvali","70","85","90","Dram","2011","5","174","0","7"
"Elveda Rumeli","2007","90","ATV","Adam Film","Tarkan Karlidag","Alican Yaras","Serdar Akar","75","70","60","Dram","2009","3","83","1","7"
"Asi","2007","90","Kanal D","Sis Yapim","Tomris Giritlioglu","Sebnem Citak","Cevdet Mercan","65","80","70","Dram","2009","2","71","0","6"
"Dudaktan Kalbe","2007","90","Show Tv","Ay Yapim","Kerem Catay","Ece Yorenc","Andac Haznedaroglu","85","65","65","Dram","2009","2","75","0","6"
"Menekse Ile Halil","2007","100","Kanal D","Ay Yapim","Kerem Catay","Ece Yorenc","Uluc Bayraktar","90","45","40","Dram","2008","1","36","0","5"
"Fikrimin Ince Gulu","2007","60","Show Tv","Med Yapim","Fatih Aksoy","Ruya Iscileri","Merve Girgin","30","35","45","Dram","2007","1","8","1","2"
"Zoraki Koca","2007","90","Kanal D","Origami Yapim","Levent Celik","Gul Abus Semerci","Kartal Tibet","80","65","40","Komedi","2007","1","26","1","5"
"Annem","2007","100","Kanal D","Gold Film","Faruk Turgut","Gamze Ozer","Faruk Teber","75","60","70","Dram","2009","2","64","0","6"
"Genco","2007","90","Kanal D","D Productions","Ayse Durmaz","Yelda Eroglu","Kemal Uzun","75","45","75","Dram","2008","1","51","0","5"
"Kavak Yelleri","2007","100","Kanal D","Tims Productions","Timur Savci","Pinar Ordu Arslan","Taner Elhan","85","70","90","Dram","2011","5","170","0","7"
"Bicak Sirti","2007","80","Kanal D","TMC","Erol Avci","Gaye Boralioglu","Selim Demirdelen","50","55","45","Dram","2008","1","30","0","5"
"Kurtlar Vadisi Pusu","2007","120","Show Tv","Pana Film","Raci Sasmaz","Raci Sasmaz","Sadullah Senturk","90","85","90","Aksiyon","2016","10","300","0","7"
"Arka Siradakiler","2007","90","Fox Tv","Mint Film","Birol Guven","Yelda Acikgoz","Hamdi Alkan","80","90","90","Dram","2011","5","160","1","7"
"Adanali","2008","90","ATV","Kuzey Productions","Mehmet Yigit Alp","Tayfun Guneyer","Adnan Guler","90","80","80","Aksiyon","2010","3","79","1","7"
"Akasya Duragi","2008","90","Kanal D","Erler Film","Turker Inanoglu","Resul Ertas","Yasar Seriner","90","90","90","Komedi","2012","5","174","1","7"
"Aski Memnu","2008","90","Kanal D","Ay Yapim","Kerem Catay","Ece Yorenc","Hilal Saral","90","90","75","Dram","2010","2","79","0","6"
"Baba Ocagi","2008","90","Star Tv","Sinetel Film","Ibrahim Mertoglu","Filiz Ekinci","Mustafa Sevki Dogan","80","50","30","Komedi","2009","1","52","1","5"
"Canim Ailem","2008","90","ATV","TMC","Erol Avci","Selin Tunc","Sadullah Celen","70","75","65","Komedi","2010","2","63","1","6"
"Kucuk Kadinlar","2008","90","Kanal D","D Productions","Ayse Durmaz","Deniz Akcay","Hakan Arslan","85","75","75","Dram","2011","3","120","0","7"
"Benim Annem Bir Melek","2008","90","ATV","BKM ","Elif Yakarcelik","Vasif Kucukoruc","Hakan Algul","75","65","60","Komedi","2010","3","64","1","7"
"Yol Arkadasim","2008","80","Kanal D","Sis Yapim","Ilgaz Giritlioglu","Cagan Irmak","Irmak Cig","65","65","65","Dram","2009","2","41","0","6"
"Bir Bulut Olsam","2009","90","Kanal D","Tims Productions","Timur Savci","Meral Okay","Ulas Inac","55","70","85","Dram","2009","2","29","0","6"
"Melekler Korusun","2009","120","Show Tv","Tims Productions","Timur Savci","Sema Ergenekon","Cevriye Demir","80","65","55","Dram","2010","2","73","1","6"
"Kapali Carsi","2009","100","ATV","TMC","Erol Avci","Gaye Boralioglu","Yasin Uslu","50","50","65","Dram","2009","1","38","1","5"
"Ezel","2009","90","ATV","Ay Yapim","Kerem Catay","Kerem Deren","Uluc Bayraktar","90","85","65","Aksiyon","2010","2","71","0","6"
"Unutulmaz","2009","90","ATV","Stil Medya","Ahmet Bayram","Haldun Unsal","Ersoy Guler","70","65","65","Dram","2010","2","90","1","6"
"Genis Aile","2009","90","Kanal D","D Productions","Ahmet Kayumtu","Cuneyt Inay","Omer Ugur","85","80","75","Komedi","2011","3","108","1","7"
"Makber","2009","90","Star Tv","Pana Film","Raci Sasmaz","Sebnem Askoy","Kemal Uzun","35","35","25","Dram","2009","1","6","1","1"
"Kul ve Ates","2009","90","Star Tv","Asis Film","Ilgaz Giritlioglu","Hale Calap Demiray","Cemile Kirmizi Karadas","55","65","20","Dram","2009","1","9","1","2"
"Behzat C","2010","90","Star Tv","Adam Film","Tarkan Karlidag","Ercan Mehmet Erdem","Serdar Akar","70","75","75","Polisiye","2013","3","96","1","7"
"Fatmagulun Sucu Ne","2010","90","Kanal D","Ay Yapim","Kerem Catay","Ece Yorenc","Hilal Saral","90","70","80","Dram","2012","2","80","0","6"
"Gonulcelen","2010","90","ATV","Sis Yapim","Tomris Giritlioglu","Gul Dirican","Cevdet Mercan","80","80","65","Dram","2011","2","56","0","6"
"Oyle Bir Gecer Zaman Ki","2010","90","Kanal D","D Productions","Ayse Durmaz","Coskun Irmak","Zeynep Gunay Tan","85","70","85","Dram","2013","3","120","0","7"
"Lale Devri","2010","90","Fox Tv","Avsar Film","Sukru Avsar","Sema Ergenekon","Murat Duzgunoglu","85","85","90","Dram","2014","4","135","0","7"
"Kucuk Sirlar","2010","90","Kanal D","Tims Productions","Timur Savci","Nukhet Bicakci","Cevriye Demir","80","55","70","Genclik","2011","2","55","0","6"
"Kanit","2010","75","Kanal D","ANS Yapim","Abdullah Oguz","Ahmet Saatcioglu","Biray Dalkiran","75","80","80","Polisiye","2013","3","100","1","7"
"Turkan","2010","90","Kanal D","Koliba Film","Ata Turkoglu","Oya Yuce","Cemal San","25","45","55","Dram","2011","1","26","1","5"
"Yahsi Cazibe","2010","90","ATV","Surec Film","Gani Mujde","Gani Mujde","Bora Onur","70","70","70","Komedi","2012","2","93","1","6"
"Turk Mali","2010","90","Show Tv","Kuzey Productions","Mehmet Yigit Alp","Tayfun Guneyer","Tayfun Guneyer","75","60","65","Komedi","2011","2","33","1","6"
"Yer Gok Ask","2010","90","Fox Tv","Avsar Film","Sukru Avsar","Sema Ergenekon","Canan Celik","85","70","85","Dram","2013","3","122","1","7"
"Sen Yuva","2010","90","ATV","BKM ","Necati Akpinar","Emrah Sinanoglu","Hakan Algul","85","55","55","Komedi","2010","2","20","1","6"
"Leyla ile Mecnun","2011","75","TRT 1","Eflatun Film","Orkun Unlu","Burak Aksak","Onur unlu","85","90","75","Komedi","2013","3","104","0","7"
"Kuzey Guney","2011","90","Kanal D","Ay Yapim","Kerem Catay","Ece Yorenc","Hilal Saral","90","65","70","Dram","2013","2","80","0","6"
"Bir cocuk Sevdim","2011","90","Kanal D","TMC Film","Timur Savci","Gaye Boralioglu","Cevdet Mercan","85","65","40","Dram","2012","1","39","0","5"
"Adini Feriha Koydum","2011","120","Show Tv","Med Yapim","Fatih Aksoy","Melis Civelek","Merve Girgin","75","70","75","Ask","2012","2","67","0","6"
"Alemin Krali","2011","90","ATV","Surec Film","Ali Gundogdu","Kemal Kenan Ergen","Derya Yaruc","75","75","60","Komedi","2013","2","67","1","6"
